date,id,temperature,high_temperature,low_temperature,precipitation,hours_of_sunlight,global_irradiance,deepest_snow,amount_of_snowfall,wind_velocity,humidity,atmospheric_pressure,degree_of_cloudiness,weather_06-18,weather_18-06
2014-02-08,abiko,-0.9,0.6,-2.3,39.0,0.0,,,,3.1,,,,,
2014-02-09,abiko,2.7,7.3,-0.8,2.0,4.6,,,,1.7,,,,,
2014-02-10,abiko,2.5,6.8,-1.9,0.0,7.0,,,,1.3,,,,,
2014-02-11,abiko,1.1,2.6,-1.1,1.0,0.0,,,,1.9,,,,,
2014-02-12,abiko,2.4,6.8,-1.1,0.0,3.1,,,,2.0,,,,,
2014-02-13,abiko,2.0,6.2,-3.6,0.0,3.4,,,,1.0,,,,,
2014-02-14,abiko,0.6,2.3,-0.1,13.0,0.0,,,,2.9,,,,,
2014-02-15,abiko,4.0,11.7,-0.2,79.5,0.4,,,,3.9,,,,,
2014-02-16,abiko,6.1,9.4,3.7,0.5,9.5,,,,4.8,,,,,
2014-02-17,abiko,6.2,12.7,2.0,0.0,10.2,,,,3.4,,,,,
2014-02-18,abiko,3.2,8.3,-0.6,0.0,10.1,,,,2.1,,,,,
2014-02-19,abiko,1.7,7.0,-3.5,0.0,9.2,,,,1.4,,,,,
2014-02-20,abiko,2.0,6.8,-3.2,0.0,6.5,,,,1.2,,,,,
2014-02-21,abiko,3.0,9.2,-1.7,0.0,10.2,,,,2.2,,,,,
2014-02-22,abiko,2.3,8.9,-4.3,0.0,7.8,,,,1.5,,,,,
2014-02-23,abiko,3.3,8.3,-0.9,0.0,2.8,,,,1.4,,,,,
2014-02-24,abiko,4.0,7.6,1.1,0.0,2.0,,,,1.4,,,,,
2014-02-25,abiko,5.6,13.2,-1.4,0.0,10.4,,,,1.5,,,,,
2014-02-26,abiko,6.0,14.4,-1.0,0.0,9.7,,,,1.5,,,,,
2014-02-27,abiko,7.6,13.0,2.9,1.0,0.0,,,,1.1,,,,,
2014-02-28,abiko,12.3,19.0,7.2,9.0,7.2,,,,2.0,,,,,
2014-03-01,abiko,6.7,9.4,4.7,1.0,0.0,,,,1.6,,,,,
2014-03-02,abiko,4.2,5.2,3.4,16.0,0.0,,,,2.4,,,,,
2014-03-03,abiko,4.9,9.7,2.1,0.5,3.0,,,,1.6,,,,,
2014-03-04,abiko,4.2,9.4,-2.3,1.0,9.9,,,,1.6,,,,,
2014-03-05,abiko,5.1,6.8,3.5,22.5,0.0,,,,1.8,,,,,
2014-03-06,abiko,3.8,6.8,1.5,0.0,10.7,,,,4.2,,,,,
2014-03-07,abiko,2.8,8.0,-0.9,0.0,8.1,,,,2.2,,,,,
2014-03-08,abiko,3.7,10.0,-2.8,0.0,10.9,,,,1.9,,,,,
2014-03-09,abiko,3.4,8.7,-0.3,0.0,5.4,,,,1.4,,,,,
2014-03-10,abiko,2.9,7.5,-1.0,0.0,9.1,,,,3.5,,,,,
2014-03-11,abiko,3.9,10.7,-2.5,0.0,11.1,,,,2.7,,,,,
2014-03-12,abiko,8.4,17.3,-1.3,0.0,9.2,,,,1.9,,,,,
2014-03-13,abiko,10.4,16.4,4.4,33.0,0.7,,,,2.8,,,,,
2014-03-14,abiko,7.5,11.6,3.7,2.0,0.0,,,,1.7,,,,,
2014-03-15,abiko,5.9,11.6,0.9,0.0,11.0,,,,1.9,,,,,
2014-03-16,abiko,7.7,16.4,0.4,0.0,10.9,,,,1.8,,,,,
2014-03-17,abiko,8.4,16.4,0.6,0.0,9.0,,,,1.8,,,,,
2014-03-18,abiko,12.4,18.5,4.7,0.0,6.6,,,,3.7,,,,,
2014-03-19,abiko,9.3,12.9,4.8,0.0,5.9,,,,2.7,,,,,
2014-03-20,abiko,6.5,7.7,5.4,15.0,0.0,,,,1.9,,,,,
2014-03-21,abiko,8.0,13.1,4.5,0.0,9.8,,,,4.3,,,,,
2014-03-22,abiko,7.7,13.7,2.1,0.0,11.4,,,,2.6,,,,,
2014-03-23,abiko,9.1,15.8,2.3,0.0,10.6,,,,2.1,,,,,
2014-03-24,abiko,10.8,18.5,2.1,0.0,11.6,,,,1.7,,,,,
2014-03-25,abiko,14.1,21.6,8.4,0.0,10.1,,,,2.1,,,,,
2014-03-26,abiko,13.6,19.6,8.3,0.0,0.7,,,,1.8,,,,,
2014-03-27,abiko,10.4,14.2,5.8,0.0,0.1,,,,1.8,,,,,
2014-03-28,abiko,12.8,21.4,4.3,0.0,11.6,,,,2.0,,,,,
2014-03-29,abiko,15.6,21.4,8.9,0.0,9.4,,,,3.1,,,,,
2014-03-30,abiko,15.0,18.6,13.2,14.0,0.0,,,,4.5,,,,,
2014-03-31,abiko,14.2,19.1,10.5,0.0,10.9,,,,4.7,,,,,
2014-04-01,abiko,11.0,17.5,4.7,0.0,11.6,,,,1.6,,,,,
2014-04-02,abiko,12.1,18.9,4.6,0.0,6.7,,,,1.8,,,,,
2014-04-03,abiko,13.2,14.5,11.0,35.0,0.0,,,,1.3,,,,,
2014-04-04,abiko,13.8,20.6,9.2,37.5,4.3,,,,2.6,,,,,
2014-04-05,abiko,9.9,14.8,6.8,0.0,7.6,,,,2.6,,,,,
2014-04-06,abiko,7.2,12.3,4.7,5.0,5.4,,,,2.1,,,,,
2014-04-07,abiko,9.8,16.2,4.1,0.0,11.4,,,,2.7,,,,,
2014-04-08,abiko,12.3,22.0,3.3,0.0,11.7,,,,1.5,,,,,
2014-04-09,abiko,12.4,18.9,6.2,0.0,9.5,,,,1.9,,,,,
2014-04-10,abiko,14.2,23.0,7.4,0.0,10.5,,,,2.6,,,,,
2014-04-11,abiko,10.5,17.2,2.5,0.0,12.1,,,,2.6,,,,,
2014-04-12,abiko,11.1,19.2,2.6,0.0,12.1,,,,1.6,,,,,
2014-04-13,abiko,11.2,17.9,4.5,0.0,9.6,,,,1.8,,,,,
2014-04-14,abiko,11.6,18.1,7.3,0.0,6.9,,,,1.7,,,,,
2014-04-15,abiko,13.6,21.1,5.6,0.0,12.1,,,,2.4,,,,,
2014-04-16,abiko,16.2,24.0,8.9,0.0,11.3,,,,2.1,,,,,
2014-04-17,abiko,15.4,22.1,10.0,0.0,9.7,,,,2.0,,,,,
2014-04-18,abiko,9.1,13.6,6.7,5.5,0.0,,,,2.0,,,,,
2014-04-19,abiko,9.8,15.5,6.5,0.0,9.2,,,,2.5,,,,,
2014-04-20,abiko,9.4,12.9,5.2,0.0,2.1,,,,1.7,,,,,
2014-04-21,abiko,12.1,16.4,8.8,7.5,0.0,,,,1.4,,,,,
2014-04-22,abiko,13.7,18.5,10.6,1.5,2.8,,,,1.8,,,,,
2014-04-23,abiko,14.5,21.1,10.6,1.0,10.3,,,,1.7,,,,,
2014-04-24,abiko,14.3,20.6,9.4,0.0,10.9,,,,1.7,,,,,
2014-04-25,abiko,15.4,23.4,7.8,0.0,12.1,,,,1.6,,,,,
2014-04-26,abiko,16.2,24.0,9.1,0.0,12.0,,,,1.7,,,,,
2014-04-27,abiko,16.4,23.5,8.7,0.0,12.7,,,,2.5,,,,,
2014-04-28,abiko,17.0,21.9,11.4,0.0,3.7,,,,2.7,,,,,
2014-04-29,abiko,15.6,18.7,13.2,0.0,1.2,,,,2.2,,,,,
2014-04-30,abiko,15.4,17.4,12.6,36.0,0.0,,,,2.2,,,,,
2014-05-01,abiko,18.5,23.0,14.4,6.5,6.3,,,,3.0,,,,,
2014-05-02,abiko,19.0,25.8,13.8,0.0,11.4,,,,1.7,,,,,
2014-05-03,abiko,19.4,27.2,12.8,0.0,11.6,,,,2.0,,,,,
2014-05-04,abiko,16.2,23.2,10.1,0.0,11.0,,,,2.1,,,,,
2014-05-05,abiko,16.3,19.7,11.8,0.0,0.0,,,,3.1,,,,,
2014-05-06,abiko,12.3,16.6,8.4,3.5,0.0,,,,2.1,,,,,
2014-05-07,abiko,14.4,21.6,7.3,0.0,12.1,,,,1.7,,,,,
2014-05-08,abiko,17.3,22.8,11.4,0.0,7.7,,,,3.8,,,,,
2014-05-09,abiko,16.3,24.6,10.8,2.5,10.7,,,,2.1,,,,,
2014-05-10,abiko,17.0,23.0,9.9,0.0,11.6,,,,2.0,,,,,
2014-05-11,abiko,17.1,24.5,9.5,0.0,13.1,,,,1.8,,,,,
2014-05-12,abiko,17.4,22.5,10.5,1.5,9.3,,,,4.7,,,,,
2014-05-13,abiko,17.2,21.1,14.5,9.0,1.7,,,,2.3,,,,,
2014-05-14,abiko,20.1,28.4,12.9,0.0,5.6,,,,1.9,,,,,
2014-05-15,abiko,17.5,19.9,14.9,6.0,1.2,,,,1.6,,,,,
2014-05-16,abiko,19.2,25.4,12.5,1.0,10.2,,,,2.5,,,,,
2014-05-17,abiko,19.1,24.6,13.0,0.0,11.7,,,,2.8,,,,,
2014-05-18,abiko,18.7,26.0,11.7,0.0,13.1,,,,1.8,,,,,
2014-05-19,abiko,18.9,23.3,13.4,0.0,10.4,,,,1.8,,,,,
2014-05-20,abiko,19.5,25.8,14.2,0.0,5.5,,,,1.5,,,,,
2014-05-21,abiko,16.2,18.6,13.4,36.0,0.1,,,,2.8,,,,,
2014-05-22,abiko,16.7,23.9,10.6,0.0,7.4,,,,2.1,,,,,
2014-05-23,abiko,16.1,21.8,12.1,0.0,7.3,,,,1.7,,,,,
2014-05-24,abiko,18.8,24.0,12.7,0.0,12.3,,,,2.9,,,,,
2014-05-25,abiko,21.0,25.6,18.2,0.0,5.2,,,,2.8,,,,,
2014-05-26,abiko,19.7,23.7,16.1,8.5,2.3,,,,4.3,,,,,
2014-05-27,abiko,19.8,24.9,16.9,32.0,2.3,,,,2.2,,,,,
2014-05-28,abiko,21.3,28.2,16.8,0.0,6.5,,,,1.9,,,,,
2014-05-29,abiko,21.7,28.0,16.5,0.0,9.8,,,,1.9,,,,,
2014-05-30,abiko,22.4,30.1,16.4,0.0,12.3,,,,2.0,,,,,
2014-05-31,abiko,23.8,31.4,17.8,0.0,12.2,,,,2.0,,,,,
2014-06-01,abiko,24.5,33.1,18.2,0.0,12.9,,,,2.0,,,,,
2014-06-02,abiko,21.7,27.8,18.1,0.0,10.9,,,,2.2,,,,,
2014-06-03,abiko,21.9,27.5,18.9,0.0,5.9,,,,1.7,,,,,
2014-06-04,abiko,22.4,27.6,18.6,0.0,8.0,,,,2.1,,,,,
2014-06-05,abiko,19.7,22.2,18.2,9.5,0.0,,,,2.0,,,,,
2014-06-06,abiko,18.4,19.3,17.6,89.5,0.0,,,,3.0,,,,,
2014-06-07,abiko,17.4,18.2,16.6,79.5,0.0,,,,2.5,,,,,
2014-06-08,abiko,20.5,23.0,17.6,7.5,0.0,,,,1.7,,,,,
2014-06-09,abiko,20.5,26.2,18.1,7.0,1.4,,,,1.4,,,,,
2014-06-10,abiko,21.3,26.7,18.7,0.5,6.5,,,,1.7,,,,,
2014-06-11,abiko,20.1,21.7,18.9,17.5,0.0,,,,1.6,,,,,
2014-06-12,abiko,20.2,21.9,18.8,13.0,0.3,,,,2.0,,,,,
2014-06-13,abiko,23.1,29.2,17.9,0.0,10.9,,,,2.2,,,,,
2014-06-14,abiko,22.5,29.2,16.7,0.0,13.3,,,,1.9,,,,,
2014-06-15,abiko,22.6,29.6,16.7,0.0,12.9,,,,1.6,,,,,
2014-06-16,abiko,23.2,30.5,17.2,0.0,11.5,,,,1.7,,,,,
2014-06-17,abiko,23.0,29.1,17.8,0.0,8.6,,,,1.6,,,,,
2014-06-18,abiko,21.7,24.8,19.5,0.0,0.6,,,,1.4,,,,,
2014-06-19,abiko,23.2,29.3,18.0,0.0,12.4,,,,2.0,,,,,
2014-06-20,abiko,23.1,27.4,19.1,6.5,11.1,,,,2.6,,,,,
2014-06-21,abiko,23.6,28.2,20.0,0.0,5.0,,,,2.1,,,,,
2014-06-22,abiko,20.5,22.1,18.7,6.5,0.1,,,,1.3,,,,,
2014-06-23,abiko,21.9,26.4,18.8,0.0,5.5,,,,1.7,,,,,
2014-06-24,abiko,21.0,24.8,18.7,1.5,2.3,,,,1.6,,,,,
2014-06-25,abiko,20.1,24.6,18.1,20.0,0.9,,,,1.2,,,,,
2014-06-26,abiko,21.1,26.8,18.2,2.5,2.3,,,,1.3,,,,,
2014-06-27,abiko,22.3,26.9,18.5,0.0,3.2,,,,1.9,,,,,
2014-06-28,abiko,22.2,24.9,20.6,6.5,0.0,,,,1.9,,,,,
2014-06-29,abiko,22.3,27.7,19.2,15.0,3.3,,,,1.6,,,,,
2014-06-30,abiko,21.9,26.9,18.4,0.5,2.8,,,,1.7,,,,,
2014-07-01,abiko,23.2,28.5,18.8,9.5,10.0,,,,1.8,,,,,
2014-07-02,abiko,23.6,29.5,18.3,0.0,13.1,,,,1.7,,,,,
2014-07-03,abiko,23.6,28.8,19.8,2.5,4.0,,,,1.7,,,,,
2014-07-04,abiko,20.3,21.7,19.2,20.5,0.0,,,,1.8,,,,,
2014-07-05,abiko,20.9,23.9,18.8,0.0,1.9,,,,1.6,,,,,
2014-07-06,abiko,22.8,28.3,18.2,0.0,4.9,,,,1.4,,,,,
2014-07-07,abiko,21.8,24.0,20.6,5.5,0.0,,,,1.4,,,,,
2014-07-08,abiko,25.2,31.3,20.0,0.0,13.0,,,,1.6,,,,,
2014-07-09,abiko,22.8,26.1,20.7,6.5,0.2,,,,1.5,,,,,
2014-07-10,abiko,25.5,29.1,22.1,1.0,0.6,,,,4.0,,,,,
2014-07-11,abiko,26.6,33.4,23.6,9.0,5.6,,,,2.1,,,,,
2014-07-12,abiko,26.8,33.0,23.4,0.0,9.3,,,,1.6,,,,,
2014-07-13,abiko,24.9,27.8,21.8,0.0,0.3,,,,2.3,,,,,
2014-07-14,abiko,26.1,31.6,23.3,0.0,3.7,,,,1.7,,,,,
2014-07-15,abiko,26.1,31.9,22.1,0.0,10.5,,,,1.8,,,,,
2014-07-16,abiko,26.6,33.3,21.2,0.0,9.5,,,,2.0,,,,,
2014-07-17,abiko,23.8,28.4,21.1,1.0,6.4,,,,2.3,,,,,
2014-07-18,abiko,22.6,25.9,20.7,7.0,1.1,,,,1.9,,,,,
2014-07-19,abiko,21.8,26.3,19.5,33.5,0.3,,,,1.4,,,,,
2014-07-20,abiko,22.4,28.4,19.5,0.5,6.0,,,,1.6,,,,,
2014-07-21,abiko,22.8,27.4,19.7,0.0,5.1,,,,1.6,,,,,
2014-07-22,abiko,25.8,32.2,20.5,0.0,8.7,,,,1.6,,,,,
2014-07-23,abiko,27.2,32.6,22.5,0.0,8.6,,,,1.4,,,,,
2014-07-24,abiko,27.4,33.5,23.6,0.5,3.6,,,,1.5,,,,,
2014-07-25,abiko,28.5,34.5,23.2,0.0,12.5,,,,1.7,,,,,
2014-07-26,abiko,29.0,35.4,24.5,0.0,11.9,,,,2.2,,,,,
2014-07-27,abiko,28.0,33.5,25.4,0.0,9.0,,,,2.4,,,,,
2014-07-28,abiko,25.5,30.7,22.1,0.0,8.8,,,,1.9,,,,,
2014-07-29,abiko,25.4,31.4,20.0,0.0,10.2,,,,1.7,,,,,
2014-07-30,abiko,26.5,32.6,20.5,0.0,12.7,,,,2.0,,,,,
2014-07-31,abiko,28.0,34.4,23.0,0.0,11.7,,,,1.9,,,,,
2014-08-01,abiko,28.1,34.3,23.0,0.0,10.0,,,,1.8,,,,,
2014-08-02,abiko,28.5,35.8,22.4,0.0,11.4,,,,1.6,,,,,
2014-08-03,abiko,28.2,34.3,22.9,0.0,12.5,,,,2.2,,,,,
2014-08-04,abiko,28.3,32.3,25.1,0.0,11.0,,,,3.5,,,,,
2014-08-05,abiko,28.9,33.3,26.0,0.0,13.0,,,,4.5,,,,,
2014-08-06,abiko,28.6,33.0,25.7,0.0,12.9,,,,4.2,,,,,
2014-08-07,abiko,28.4,32.8,25.0,0.0,11.8,,,,3.5,,,,,
2014-08-08,abiko,27.4,30.7,24.5,0.0,3.0,,,,1.6,,,,,
2014-08-09,abiko,23.5,26.2,21.4,1.0,0.0,,,,2.4,,,,,
2014-08-10,abiko,25.7,30.7,20.8,30.5,1.6,,,,3.9,,,,,
2014-08-11,abiko,27.6,30.9,25.1,0.0,8.6,,,,5.9,,,,,
2014-08-12,abiko,24.7,29.8,20.1,2.0,0.6,,,,2.5,,,,,
2014-08-13,abiko,25.1,31.0,19.9,0.0,7.8,,,,1.4,,,,,
2014-08-14,abiko,26.1,30.0,23.9,9.5,0.8,,,,1.1,,,,,
2014-08-15,abiko,27.7,32.1,24.2,0.0,11.7,,,,3.6,,,,,
2014-08-16,abiko,22.9,26.2,20.6,8.0,0.1,,,,2.4,,,,,
2014-08-17,abiko,23.2,27.6,20.5,0.0,2.9,,,,1.9,,,,,
2014-08-18,abiko,26.7,33.6,22.1,0.0,7.8,,,,2.1,,,,,
2014-08-19,abiko,28.1,32.7,24.0,0.0,12.5,,,,2.7,,,,,
2014-08-20,abiko,29.2,35.4,24.3,0.0,11.8,,,,1.6,,,,,
2014-08-21,abiko,28.6,33.9,23.7,0.0,11.3,,,,1.2,,,,,
2014-08-22,abiko,28.1,33.6,24.2,0.0,8.2,,,,2.0,,,,,
2014-08-23,abiko,25.3,29.4,22.9,0.0,1.8,,,,2.1,,,,,
2014-08-24,abiko,26.6,32.4,22.4,0.0,6.3,,,,1.5,,,,,
2014-08-25,abiko,24.1,26.7,22.1,0.0,0.5,,,,1.2,,,,,
2014-08-26,abiko,22.6,24.4,21.2,2.0,0.0,,,,1.7,,,,,
2014-08-27,abiko,20.2,22.2,18.4,7.5,0.0,,,,2.0,,,,,
2014-08-28,abiko,19.5,20.8,18.1,10.5,0.0,,,,1.7,,,,,
2014-08-29,abiko,21.7,25.0,19.7,2.5,0.3,,,,1.4,,,,,
2014-08-30,abiko,20.8,24.8,18.3,30.0,2.1,,,,1.6,,,,,
2014-08-31,abiko,21.1,23.9,17.6,0.0,0.4,,,,1.4,,,,,
2014-09-01,abiko,20.3,22.5,18.6,31.0,0.0,,,,1.6,,,,,
2014-09-02,abiko,22.3,28.8,18.2,0.0,11.2,,,,1.9,,,,,
2014-09-03,abiko,21.6,24.7,19.4,0.0,3.7,,,,1.5,,,,,
2014-09-04,abiko,23.4,27.3,18.8,0.0,4.4,,,,1.5,,,,,
2014-09-05,abiko,26.0,31.0,21.5,0.0,5.4,,,,2.5,,,,,
2014-09-06,abiko,25.5,29.3,22.3,0.0,5.8,,,,1.7,,,,,
2014-09-07,abiko,19.8,22.6,18.0,9.0,0.2,,,,1.3,,,,,
2014-09-08,abiko,19.8,22.9,16.4,2.5,0.0,,,,0.9,,,,,
2014-09-09,abiko,21.6,26.3,18.9,1.5,7.0,,,,2.1,,,,,
2014-09-10,abiko,21.8,26.1,18.6,0.0,1.2,,,,1.4,,,,,
2014-09-11,abiko,19.7,21.7,17.7,32.0,0.7,,,,1.2,,,,,
2014-09-12,abiko,20.8,27.0,16.6,0.0,7.0,,,,1.4,,,,,
2014-09-13,abiko,20.4,26.4,16.6,3.0,7.0,,,,1.6,,,,,
2014-09-14,abiko,21.1,27.1,16.9,0.0,10.5,,,,1.5,,,,,
2014-09-15,abiko,20.9,25.2,17.5,0.0,1.4,,,,1.2,,,,,
2014-09-16,abiko,22.6,29.3,18.3,0.0,7.1,,,,1.2,,,,,
2014-09-17,abiko,21.0,24.6,18.6,0.0,1.2,,,,1.8,,,,,
2014-09-18,abiko,19.7,24.1,16.0,0.0,3.6,,,,1.4,,,,,
2014-09-19,abiko,19.0,23.9,12.9,0.0,4.6,,,,1.2,,,,,
2014-09-20,abiko,17.6,21.0,14.8,0.0,0.0,,,,1.2,,,,,
2014-09-21,abiko,18.2,25.1,12.3,0.0,9.6,,,,1.5,,,,,
2014-09-22,abiko,19.7,26.3,15.2,0.0,8.9,,,,1.3,,,,,
2014-09-23,abiko,19.4,25.6,14.6,0.0,9.3,,,,1.3,,,,,
2014-09-24,abiko,20.5,25.4,16.0,0.0,2.8,,,,1.8,,,,,
2014-09-25,abiko,21.7,25.2,19.5,6.0,0.0,,,,2.4,,,,,
2014-09-26,abiko,20.7,26.2,16.2,0.5,9.8,,,,1.9,,,,,
2014-09-27,abiko,18.2,22.9,13.9,0.0,6.8,,,,2.2,,,,,
2014-09-28,abiko,19.4,25.0,14.2,0.0,10.5,,,,2.2,,,,,
2014-09-29,abiko,20.1,26.8,14.9,0.0,11.1,,,,2.2,,,,,
2014-09-30,abiko,21.3,27.8,15.6,0.0,9.1,,,,1.3,,,,,
2014-10-01,abiko,19.3,20.9,17.8,0.0,0.0,,,,1.9,,,,,
2014-10-02,abiko,19.2,21.7,17.1,1.5,0.6,,,,1.4,,,,,
2014-10-03,abiko,24.1,30.4,19.1,0.5,8.7,,,,2.4,,,,,
2014-10-04,abiko,21.5,24.7,19.0,0.0,0.7,,,,1.3,,,,,
2014-10-05,abiko,16.0,19.5,13.4,101.5,0.0,,,,2.3,,,,,
2014-10-06,abiko,20.8,26.0,17.6,123.0,4.0,,,,2.9,,,,,
2014-10-07,abiko,17.7,21.7,14.5,0.0,5.9,,,,1.7,,,,,
2014-10-08,abiko,17.2,23.1,12.6,0.0,7.9,,,,1.5,,,,,
2014-10-09,abiko,18.8,23.9,15.5,0.0,2.6,,,,1.4,,,,,
2014-10-10,abiko,19.2,25.1,13.5,0.0,7.3,,,,1.5,,,,,
2014-10-11,abiko,17.3,21.2,13.4,0.0,7.0,,,,1.6,,,,,
2014-10-12,abiko,15.7,20.2,12.2,0.0,3.4,,,,1.4,,,,,
2014-10-13,abiko,16.3,23.0,12.4,17.5,0.0,,,,2.1,,,,,
2014-10-14,abiko,21.6,26.4,15.9,15.0,9.7,,,,4.2,,,,,
2014-10-15,abiko,13.6,16.3,11.7,7.5,0.1,,,,1.3,,,,,
2014-10-16,abiko,14.2,19.0,11.5,1.5,1.6,,,,1.7,,,,,
2014-10-17,abiko,15.4,22.7,9.8,0.0,8.4,,,,1.7,,,,,
2014-10-18,abiko,13.5,20.1,7.0,0.0,10.4,,,,1.2,,,,,
2014-10-19,abiko,14.8,22.5,8.4,0.0,9.4,,,,1.3,,,,,
2014-10-20,abiko,17.1,24.0,11.0,0.0,6.5,,,,1.3,,,,,
2014-10-21,abiko,17.1,20.9,14.7,2.0,0.2,,,,1.3,,,,,
2014-10-22,abiko,14.3,18.0,12.0,25.0,0.0,,,,2.2,,,,,
2014-10-23,abiko,12.6,14.4,11.3,4.5,0.0,,,,2.2,,,,,
2014-10-24,abiko,14.1,19.6,9.8,0.0,9.1,,,,1.1,,,,,
2014-10-25,abiko,15.1,22.5,8.7,0.0,9.0,,,,1.1,,,,,
2014-10-26,abiko,17.4,22.7,12.9,6.5,1.8,,,,0.9,,,,,
2014-10-27,abiko,17.7,22.6,12.5,0.5,3.9,,,,1.4,,,,,
2014-10-28,abiko,13.3,17.8,9.1,0.0,10.0,,,,2.1,,,,,
2014-10-29,abiko,11.9,20.6,5.2,0.0,10.3,,,,1.2,,,,,
2014-10-30,abiko,14.1,21.5,6.0,0.0,9.4,,,,1.0,,,,,
2014-10-31,abiko,15.5,19.5,11.6,0.5,0.4,,,,0.9,,,,,
2014-11-01,abiko,15.2,16.4,14.3,12.5,0.0,,,,1.0,,,,,
2014-11-02,abiko,18.3,21.3,14.0,0.0,4.4,,,,2.4,,,,,
2014-11-03,abiko,16.0,19.8,12.2,0.0,1.5,,,,1.6,,,,,
2014-11-04,abiko,13.1,18.5,8.1,0.0,9.9,,,,1.6,,,,,
2014-11-05,abiko,12.7,17.1,8.0,0.0,0.1,,,,1.6,,,,,
2014-11-06,abiko,16.0,20.6,12.9,2.5,1.5,,,,1.5,,,,,
2014-11-07,abiko,15.2,19.7,10.7,0.0,9.3,,,,1.9,,,,,
2014-11-08,abiko,11.7,13.4,9.1,0.0,0.0,,,,1.3,,,,,
2014-11-09,abiko,13.4,16.8,12.4,1.5,0.4,,,,1.1,,,,,
2014-11-10,abiko,14.5,20.6,9.7,0.0,4.8,,,,1.2,,,,,
2014-11-11,abiko,11.6,13.3,8.8,0.0,0.0,,,,1.5,,,,,
2014-11-12,abiko,11.3,13.7,8.1,6.5,0.0,,,,1.3,,,,,
2014-11-13,abiko,11.4,19.3,5.8,0.0,9.1,,,,1.4,,,,,
2014-11-14,abiko,9.4,16.4,3.2,0.0,9.8,,,,1.4,,,,,
2014-11-15,abiko,9.6,16.1,3.9,0.0,9.8,,,,1.8,,,,,
